Time(s),Steer(deg),Speed(km/h),YawRate(deg/s),Sideslip(deg),LatG,PosX(m),PosY(m)
0.00000,0.00000,60.00000,0.00000,0.00000,0.00000,0.16667,0.00000
0.01000,0.00000,60.00000,0.00000,0.00000,0.00000,0.33333,0.00000
0.02000,0.00000,60.00000,0.00000,0.00000,0.00000,0.50000,0.00000
0.03000,0.00000,60.00000,0.00000,0.00000,0.00000,0.66667,0.00000
0.04000,0.00000,60.00000,0.00000,0.00000,0.00000,0.83333,0.00000
0.05000,0.00000,60.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0.06000,0.00000,60.00000,0.00000,0.00000,0.00000,1.16667,0.00000
0.07000,0.00000,60.00000,0.00000,0.00000,0.00000,1.33333,0.00000
0.08000,0.00000,60.00000,0.00000,0.00000,0.00000,1.50000,0.00000
0.09000,0.00000,60.00000,0.00000,0.00000,0.00000,1.66667,0.00000
0.10000,0.00000,60.00000,0.00000,0.00000,0.00000,1.83333,0.00000
0.11000,0.00000,60.00000,0.00000,0.00000,0.00000,2.00000,0.00000
0.12000,0.00000,60.00000,0.00000,0.00000,0.00000,2.16667,0.00000
0.13000,0.00000,60.00000,0.00000,0.00000,0.00000,2.33333,0.00000
0.14000,0.00000,60.00000,0.00000,0.00000,0.00000,2.50000,0.00000
0.15000,0.00000,60.00000,0.00000,0.00000,0.00000,2.66667,0.00000
0.16000,0.00000,60.00000,0.00000,0.00000,0.00000,2.83333,0.00000
0.17000,0.00000,60.00000,0.00000,0.00000,0.00000,3.00000,0.00000
0.18000,0.00000,60.00000,0.00000,0.00000,0.00000,3.16667,0.00000
0.19000,0.00000,60.00000,0.00000,0.00000,0.00000,3.33333,0.00000
0.20000,0.00000,60.00000,0.00000,0.00000,0.00000,3.50000,0.00000
0.21000,0.00000,60.00000,0.00000,0.00000,0.00000,3.66667,0.00000
0.22000,0.00000,60.00000,0.00000,0.00000,0.00000,3.83333,0.00000
0.23000,0.00000,60.00000,0.00000,0.00000,0.00000,4.00000,0.00000
0.24000,0.00000,60.00000,0.00000,0.00000,0.00000,4.16667,0.00000
0.25000,0.00000,60.00000,0.00000,0.00000,0.00000,4.33333,0.00000
0.26000,0.00000,60.00000,0.00000,0.00000,0.00000,4.50000,0.00000
0.27000,0.00000,60.00000,0.00000,0.00000,0.00000,4.66667,0.00000
0.28000,0.00000,60.00000,0.00000,0.00000,0.00000,4.83333,0.00000
0.29000,0.00000,60.00000,0.00000,0.00000,0.00000,5.00000,0.00000
0.30000,0.00000,60.00000,0.00000,0.00000,0.00000,5.16667,0.00000
0.31000,0.00000,60.00000,0.00000,0.00000,0.00000,5.33333,0.00000
0.32000,0.00000,60.00000,0.00000,0.00000,0.00000,5.50000,0.00000
0.33000,0.00000,60.00000,0.00000,0.00000,0.00000,5.66667,0.00000
0.34000,0.00000,60.00000,0.00000,0.00000,0.00000,5.83333,0.00000
0.35000,0.00000,60.00000,0.00000,0.00000,0.00000,6.00000,0.00000
0.36000,0.00000,60.00000,0.00000,0.00000,0.00000,6.16667,0.00000
0.37000,0.00000,60.00000,0.00000,0.00000,0.00000,6.33333,0.00000
0.38000,0.00000,60.00000,0.00000,0.00000,0.00000,6.50000,0.00000
0.39000,0.00000,60.00000,0.00000,0.00000,0.00000,6.66667,0.00000
0.40000,0.00000,60.00000,0.00000,0.00000,0.00000,6.83333,0.00000
0.41000,0.00000,60.00000,0.00000,0.00000,0.00000,7.00000,0.00000
0.42000,0.00000,60.00000,0.00000,0.00000,0.00000,7.16667,0.00000
0.43000,0.00000,60.00000,0.00000,0.00000,0.00000,7.33333,0.00000
0.44000,0.00000,60.00000,0.00000,0.00000,0.00000,7.50000,0.00000
0.45000,0.00000,60.00000,0.00000,0.00000,0.00000,7.66667,0.00000
0.46000,0.00000,60.00000,0.00000,0.00000,0.00000,7.83333,0.00000
0.47000,0.00000,60.00000,0.00000,0.00000,0.00000,8.00000,0.00000
0.48000,0.00000,60.00000,0.00000,0.00000,0.00000,8.16667,0.00000
0.49000,0.00000,60.00000,0.00000,0.00000,0.00000,8.33333,0.00000
0.50000,0.00000,60.00000,0.00000,0.00000,0.00000,8.50000,0.00000
0.51000,0.20000,60.00000,0.18000,0.00783,0.02854,8.66667,0.00003
0.52000,0.40000,60.00000,0.52374,0.02115,0.05503,8.83333,0.00011
0.53000,0.60000,60.00000,1.01576,0.03798,0.08003,9.00000,0.00027
0.54000,0.80000,60.00000,1.64142,0.05666,0.10406,9.16667,0.00053
0.55000,1.00000,60.00000,2.38700,0.07579,0.12751,9.33333,0.00092
0.56000,1.20000,60.00000,3.23966,0.09424,0.15076,9.50000,0.00146
0.57000,1.40000,60.00000,4.18749,0.11107,0.17407,9.66666,0.00216
0.58000,1.60000,60.00000,5.21948,0.12554,0.19769,9.83333,0.00306
0.59000,1.80000,60.00000,6.32550,0.13709,0.22181,9.99999,0.00418
0.60000,2.00000,60.00000,7.49628,0.14529,0.24658,10.16665,0.00554
0.61000,2.20000,60.00000,8.72338,0.14982,0.27210,10.33331,0.00717
0.62000,2.40000,60.00000,9.99915,0.15048,0.29846,10.49997,0.00909
0.63000,2.60000,60.00000,11.31669,0.14716,0.32572,10.66662,0.01133
0.64000,2.80000,60.00000,12.66978,0.13982,0.35391,10.83326,0.01391
0.65000,3.00000,60.00000,14.05287,0.12847,0.38305,10.99990,0.01687
0.66000,3.20000,60.00000,15.46102,0.11319,0.41313,11.16654,0.02024
0.67000,3.40000,60.00000,16.88986,0.09407,0.44415,11.33316,0.02404
0.68000,3.60000,60.00000,18.33554,0.07127,0.47607,11.49977,0.02831
0.69000,3.80000,60.00000,19.79467,0.04494,0.50888,11.66637,0.03308
0.70000,4.00000,60.00000,21.26432,0.01526,0.54253,11.83295,0.03838
0.71000,4.20000,60.00000,22.74193,-0.01757,0.57699,11.99952,0.04425
0.72000,4.40000,60.00000,24.22532,-0.05337,0.61220,12.16606,0.05071
0.73000,4.60000,60.00000,25.71262,-0.09192,0.64813,12.33257,0.05782
0.74000,4.80000,60.00000,27.20224,-0.13302,0.68473,12.49906,0.06559
0.75000,5.00000,60.00000,28.69286,-0.17648,0.72194,12.66551,0.07407
0.76000,5.20000,60.00000,30.18339,-0.22210,0.75972,12.83192,0.08329
0.77000,5.40000,60.00000,31.67291,-0.26970,0.79803,12.99829,0.09330
0.78000,5.60000,60.00000,33.16072,-0.31910,0.83682,13.16460,0.10412
0.79000,5.80000,60.00000,34.64624,-0.37012,0.87605,13.33086,0.11581
0.80000,6.00000,60.00000,36.12904,-0.42260,0.91567,13.49705,0.12839
0.81000,6.00000,60.00000,37.42880,-0.48423,0.92711,13.66317,0.14187
0.82000,6.00000,60.00000,38.56156,-0.55252,0.94093,13.82921,0.15628
0.83000,6.00000,60.00000,39.54264,-0.62537,0.95652,13.99517,0.17162
0.84000,6.00000,60.00000,40.38660,-0.70098,0.97334,14.16104,0.18791
0.85000,6.00000,60.00000,41.10717,-0.77786,0.99096,14.32681,0.20516
0.86000,6.00000,60.00000,41.71722,-0.85476,1.00899,14.49248,0.22340
0.87000,6.00000,60.00000,42.22873,-0.93066,1.02713,14.65803,0.24265
0.88000,6.00000,60.00000,42.65283,-1.00473,1.04510,14.82346,0.26291
0.89000,6.00000,60.00000,42.99977,-1.07633,1.06272,14.98876,0.28420
0.90000,6.00000,60.00000,43.27896,-1.14497,1.07980,15.15392,0.30655
0.91000,6.00000,60.00000,43.49902,-1.21027,1.09622,15.31894,0.32996
0.92000,6.00000,60.00000,43.66776,-1.27197,1.11188,15.48379,0.35445
0.93000,6.00000,60.00000,43.79226,-1.32992,1.12671,15.64849,0.38003
0.94000,6.00000,60.00000,43.87891,-1.38402,1.14067,15.81300,0.40672
0.95000,6.00000,60.00000,43.93342,-1.43427,1.15373,15.97733,0.43453
0.96000,6.00000,60.00000,43.96091,-1.48069,1.16589,16.14147,0.46346
0.97000,6.00000,60.00000,43.96592,-1.52337,1.17713,16.30540,0.49352
0.98000,6.00000,60.00000,43.95246,-1.56242,1.18749,16.46912,0.52474
0.99000,6.00000,60.00000,43.92406,-1.59799,1.19699,16.63261,0.55710
1.00000,6.00000,60.00000,43.88381,-1.63023,1.20565,16.79587,0.59063
1.01000,6.00000,60.00000,43.83438,-1.65932,1.21351,16.95889,0.62532
